Designator,Footprint,Quantity,Value,link,Unir Cost,Cost,
R7,402,1,10K,https://www.lcsc.com/product-detail/C60490.html?s_z=n_10k%25CE%25A9%2520&spm=wm.ssy.bg.1.xh&lcsc_vid=E1laAQVSFFhYUAYAEgcPUwUHRgNYVVBVEQUIAQIFRVgxVlNRQVBcVVBWRFdaVzsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,0.0008*100=0.08,0.08,TRUE
SW1,SW_Push_SPST_NO_Alps_SKRK,1,SW_Push,https://www.lcsc.com/product-detail/C720477.html?s_z=n_TS-1088-AR02016&spm=wm.ssy.bg.0.xh&lcsc_vid=E1laAQVSFFhYUAYAEgcPUwUHRgNYVVBVEQUIAQIFRVgxVlNRQVBcV11eQlhYUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,0.055*10=0.55,0.55,TRUE
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,https://www.lcsc.com/product-detail/C2040.html?s_z=n_rp2040&spm=wm.ssy.bg.0.xh&lcsc_vid=E1laAQVSFFhYUAYAEgcPUwUHRgNYVVBVEQUIAQIFRVgxVlNRQVBcVlRURFBXXzsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,0.95,0.95,TRUE
U2,SOT-23,1,MCP1700x-330xxTT,https://www.lcsc.com/product-detail/C39051.html?s_z=n_MCP1700T-3302E%252FTT&spm=wm.ssy.bg.0.xh&lcsc_vid=E1laAQVSFFhYUAYAEgcPUwUHRgNYVVBVEQUIAQIFRVgxVlNRQVBcVVRRT1JWUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,0.49*5=2.45,2.45,TRUE
U3,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,1,W25Q16JVZPIQ TR,https://www.lcsc.com/product-detail/C2456208.html?s_z=n_W25Q16JVZPIQ%2520TR&spm=wm.ssy.bg.0.xh&lcsc_vid=E1laAQVSFFhYUAYAEgcPUwUHRgNYVVBVEQUIAQIFRVgxVlNRQVBcV11SR1JaXzsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,1.31,1.31,TRUE
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12 MHz,https://www.lcsc.com/product-detail/C9002.html?s_z=n_X322512MSB4SI&spm=wm.ssy.bg.0.xh&lcsc_vid=E1laAQVSFFhYUAYAEgcPUwUHRgNYVVBVEQUIAQIFRVgxVlNRQVBcV1xQT1NXVzsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,0.073*10=0.73,0.73,TRUE
,T18-D24 Tip,,,Hakko T18 Series 0.09 in. Chisel Tip - Micro Center,6.99,6.99,
,Wick,,,iFixit Desoldering Wick - Micro Center,4.99,4.99,
,Rosin Flux,,,CAIG Laboratories DeoxIT Brand No Clean RMA Soldering Flux in Syringe Applicator - Micro Center,7.99,0,
,Tweezers,,,https://www.microcenter.com/product/361636/enkay-products-heat-resistant-soldering-tweezers-curved-point,2.99,2.99,
,Helping Hand and Magnifying Glass,,,Inland Inland Adjustable Helping Hand w/ Magnifying Glass - Micro Center,4.99,4.99,
,,,,,,,
,,,,,Subtotal,,
,,,,,,28.77,
,,,,,Shipping and Handling,,
,,,,,LCSC,12.12,
,,,,,JLCPCB,3.12,
,,,,,,,
,,,,,Tax,,
,,,,,Micro Center,3.82,
,,,,,,,
,,,,,,Total,
,,,,,,,47.83
